epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.7945,1.97075,2.5543,0.64324,2.16656,1.72479,0.39706,0.59808,0.39167,0.1665,0.41154,0.61405,0.41563,0.34794,1.04664,0.56308,0.26217,47.0121,0.93877,0.000661728,0.000661728,0.000661728
2,80.8062,1.82959,0.92965,0.38336,1.78266,1.5759,0.55495,0.67589,0.59331,0.26568,0.56456,0.6876,0.61209,0.54545,0.98596,0.30842,0.05664,20.4309,0.8608,0.00128456,0.00128456,0.00128456
3,119.869,1.80744,0.71225,0.25129,1.59379,1.5692,0.61406,0.7388,0.66864,0.31965,0.62342,0.75275,0.68597,0.65556,0.93276,0.21734,0.01881,35.8431,0.82653,0.00186339,0.00186339,0.00186339
4,158.646,1.81489,0.62781,0.22121,1.59231,1.57411,0.6543,0.7116,0.7069,0.33018,0.66882,0.72473,0.72753,0.704,0.95542,0.17012,0.01824,25.6856,0.8618,0.001802,0.001802,0.001802
5,197.773,1.7746,0.56745,0.19746,1.52503,1.5446,0.65345,0.78893,0.72755,0.34497,0.65977,0.80915,0.74416,0.72697,0.93801,0.13161,0.012,26.9719,0.82322,0.001736,0.001736,0.001736
6,237.113,1.74002,0.47404,0.17974,1.44666,1.51642,0.67551,0.82689,0.75269,0.35417,0.68729,0.84747,0.77338,0.76048,0.92934,0.10673,0.01315,35.263,0.81713,0.00167,0.00167,0.00167
7,276.526,1.73318,0.45522,0.17564,1.44045,1.49624,0.69162,0.83469,0.77301,0.38991,0.70146,0.841,0.78328,0.7756,0.89689,0.10727,0.01568,17.0227,0.79887,0.001604,0.001604,0.001604
8,315.961,1.69535,0.40589,0.1588,1.36056,1.48701,0.70285,0.85633,0.81071,0.40589,0.70984,0.86485,0.82239,0.81635,0.90153,0.09421,0.00796,21.6967,0.79674,0.001538,0.001538,0.001538
9,355.349,1.68334,0.3793,0.15308,1.33888,1.48214,0.74006,0.83724,0.81683,0.42044,0.74393,0.84817,0.8229,0.81703,0.88409,0.09642,0.00871,14.3321,0.7888,0.001472,0.001472,0.001472
10,394.725,1.66777,0.37019,0.14913,1.27147,1.48225,0.75659,0.86236,0.83764,0.44189,0.76167,0.87519,0.84771,0.84405,0.87372,0.07893,0.00682,23.6273,0.78315,0.001406,0.001406,0.001406
11,433.854,1.65792,0.35852,0.1533,1.27423,1.45835,0.78106,0.87066,0.86656,0.44671,0.78742,0.87775,0.87533,0.87095,0.87277,0.0782,0.00678,6.7798,0.78905,0.00134,0.00134,0.00134
12,473.425,1.6473,0.31307,0.13834,1.23831,1.44684,0.72796,0.86476,0.82318,0.42162,0.73318,0.87827,0.83722,0.83279,0.88165,0.07083,0.00636,27.4255,0.78291,0.001274,0.001274,0.001274
13,512.713,1.63042,0.31395,0.14162,1.24957,1.4454,0.76038,0.91096,0.8434,0.45284,0.76633,0.92054,0.85392,0.85038,0.84537,0.0724,0.00549,22.5954,0.76976,0.001208,0.001208,0.001208
14,552.015,1.60075,0.3003,0.14036,1.18307,1.42672,0.78212,0.90157,0.86258,0.45053,0.78855,0.91015,0.87072,0.8681,0.86296,0.06422,0.00556,14.1702,0.77675,0.001142,0.001142,0.001142
15,591.55,1.60167,0.27639,0.13799,1.17627,1.42378,0.80282,0.90812,0.88768,0.47967,0.81242,0.91522,0.89367,0.89086,0.84454,0.06895,0.00613,15.4323,0.76001,0.001076,0.001076,0.001076
16,630.933,1.58511,0.27616,0.13252,1.16224,1.41465,0.79413,0.91841,0.88835,0.4873,0.79769,0.9248,0.89094,0.88922,0.83156,0.06306,0.00602,15.4273,0.74407,0.00101,0.00101,0.00101
17,670.152,1.58253,0.26644,0.12622,1.11418,1.39677,0.81338,0.92409,0.89912,0.50516,0.81869,0.93012,0.90306,0.90034,0.81425,0.0603,0.00428,11.4511,0.74202,0.000944,0.000944,0.000944
18,709.593,1.54102,0.2548,0.12303,1.12686,1.37077,0.80154,0.91203,0.888,0.48789,0.80755,0.92125,0.89447,0.89312,0.8126,0.05793,0.00379,12.2414,0.74522,0.000878,0.000878,0.000878
19,749.388,1.54971,0.24603,0.11779,1.09989,1.38226,0.81472,0.93281,0.90228,0.51764,0.82083,0.93772,0.9062,0.90434,0.79016,0.06319,0.00397,10.1506,0.72416,0.000812,0.000812,0.000812
20,788.628,1.54364,0.24939,0.12045,1.103,1.39477,0.79114,0.93386,0.88618,0.50476,0.79386,0.9399,0.89003,0.88835,0.79193,0.05766,0.0033,16.7653,0.7276,0.000746,0.000746,0.000746
